"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"255","2018-05-11","14:00:00",1857.33333333333,26.4,7.8,1.00592300098717,28.6
"256","2018-05-11","15:00:00",1735.11111111111,26.6,7.6,1.00493583415597,27.7
"257","2018-05-11","16:00:00",1426.44444444444,26.7,7.7,1.00493583415597,27.1
"258","2018-05-11","17:00:00",997.555555555556,26.9,7.7,1.00493583415597,26.6
"259","2018-05-11","18:00:00",535.555555555556,26.9,8.2,1.00493583415597,27
"260","2018-05-11","19:00:00",112.333333333333,27,7.8,1.00493583415597,26.3
"261","2018-05-11","20:00:00",0,27.6,8.2,1.00493583415597,22.5
"262","2018-05-11","21:00:00",0,27,6.6,1.00493583415597,26.2
"263","2018-05-11","22:00:00",0,27.9,7.4,1.00592300098717,23.1
"264","2018-05-11","23:00:00",0,27,7.2,1.00592300098717,27
"265","2018-05-12","00:00:00",0,26.8,7.4,1.00592300098717,28.3
"266","2018-05-12","01:00:00",0,26.7,7.3,1.00592300098717,28.9
"267","2018-05-12","02:00:00",0,26.7,6.3,1.00493583415597,28.9
"268","2018-05-12","03:00:00",0,26.6,6.2,1.00493583415597,28.8
"269","2018-05-12","04:00:00",0,26.7,6,1.00493583415597,28
"270","2018-05-12","05:00:00",0,26.6,5.2,1.00493583415597,27.4
"271","2018-05-12","06:00:00",13.8888888888889,26.7,5.2,1.00592300098717,27.3
"272","2018-05-12","07:00:00",248.222222222222,26.7,5.2,1.00691016781836,26.5
"273","2018-05-12","08:00:00",645.888888888889,26.5,6.3,1.00789733464956,28.3
"274","2018-05-12","09:00:00",1036.33333333333,26.5,6.6,1.00789733464956,28.9
"275","2018-05-12","10:00:00",1422.11111111111,26.6,6.7,1.00789733464956,28.3
"276","2018-05-12","11:00:00",1510.77777777778,26.7,7.5,1.00691016781836,25.7
"277","2018-05-12","12:00:00",1901.11111111111,26.7,7.3,1.00691016781836,28.3
"278","2018-05-12","13:00:00",1977.44444444444,26.8,7.2,1.00592300098717,27.7
"279","2018-05-12","14:00:00",1915.66666666667,27,7.4,1.00493583415597,27.8
"280","2018-05-12","15:00:00",1707.44444444444,27.2,7.7,1.00493583415597,25.6
"281","2018-05-12","16:00:00",1328.11111111111,27.3,7.6,1.00493583415597,26
"282","2018-05-12","17:00:00",770.777777777778,27.4,7.8,1.00394866732478,25.8
"283","2018-05-12","18:00:00",490.444444444444,27.5,8.2,1.00394866732478,25.5
"284","2018-05-12","19:00:00",98.2222222222222,27.4,8,1.00394866732478,26.3
"285","2018-05-12","20:00:00",0,27.4,7.3,1.00394866732478,25.5
"286","2018-05-12","21:00:00",0,27.5,7.4,1.00493583415597,22
"287","2018-05-12","22:00:00",0,27.5,7.4,1.00592300098717,21.3
"288","2018-05-12","23:00:00",0,27.6,8,1.00592300098717,20.8
"289","2018-05-13","00:00:00",0,27.2,7.3,1.00592300098717,24.7
"290","2018-05-13","01:00:00",0,26.9,7.2,1.00493583415597,25.6
"291","2018-05-13","02:00:00",0,26.8,6.6,1.00493583415597,26.4
"292","2018-05-13","03:00:00",0,26.8,6.1,1.00394866732478,27.1
